"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-2.809500098E-1,9.583050728E0,2.047950029E0
1.260033000E-3,-3.330000043E-1,9.628950119E0,2.055000067E0
2.520066000E-3,-2.779500186E-1,9.628950119E0,2.031000137E0
3.780099000E-3,-2.980500162E-1,9.615000725E0,2.059950113E0
1.906404900E-2,-2.779500186E-1,9.619050026E0,2.035950184E0
2.032408200E-2,-2.620500028E-1,9.607050896E0,2.047950029E0
2.158411500E-2,-3.000000119E-1,9.612000465E0,2.011950016E0
2.284414800E-2,-2.880000174E-1,9.639000893E0,2.031000137E0
2.410418100E-2,-3.120000064E-1,9.607050896E0,1.995000124E0
2.536421400E-2,-2.809500098E-1,9.616950035E0,2.050050020E0
2.662424700E-2,-3.019500077E-1,9.640950203E0,2.064000130E0
2.788428000E-2,-3.139500022E-1,9.627000809E0,2.047950029E0
2.915823500E-2,-2.980500162E-1,9.612000465E0,2.032950163E0
4.289482900E-2,-2.710500062E-1,9.628950119E0,2.052000046E0
4.415486200E-2,-2.639999986E-1,9.660000801E0,2.055000067E0
4.541489500E-2,-2.929500043E-1,9.676950455E0,2.007000208E0
4.667492800E-2,-3.000000119E-1,9.628950119E0,2.005050182E0
4.793496100E-2,-2.860500216E-1,9.628950119E0,2.028000116E0
4.919636700E-2,-2.830500007E-1,9.612000465E0,2.071950197E0
5.045731800E-2,-2.590500116E-1,9.616950035E0,2.062050104E0
5.171715400E-2,-2.830500007E-1,9.648000717E0,2.005050182E0
5.297731900E-2,-2.539499998E-1,9.574050903E0,2.032950163E0
5.423733600E-2,-3.019500077E-1,9.643050194E0,2.028000116E0
5.549739700E-2,-2.659500241E-1,9.622050285E0,2.014050007E0
5.675740500E-2,-2.860500216E-1,9.610050201E0,2.014050007E0
5.801741600E-2,-2.740500271E-1,9.631050110E0,1.971000075E0
5.928061200E-2,-2.569500208E-1,9.622050285E0,2.035950184E0
6.054287500E-2,-2.880000174E-1,9.634050369E0,2.031000137E0
6.180018400E-2,-2.980500162E-1,9.679050446E0,2.032950163E0
6.306018200E-2,-2.500500083E-1,9.628950119E0,2.026050091E0
6.432018200E-2,-2.689500153E-1,9.652950287E0,2.038050175E0
6.558018200E-2,-2.880000174E-1,9.679050446E0,2.035950184E0
6.684041300E-2,-2.569500208E-1,9.627000809E0,2.038050175E0
6.810042400E-2,-2.329500169E-1,9.658050537E0,2.040000200E0
6.936042400E-2,-3.090000153E-1,9.612000465E0,2.038050175E0
7.062042400E-2,-3.190500140E-1,9.622050285E0,2.055000067E0
7.188049900E-2,-2.899500132E-1,9.540000916E0,2.023950100E0
7.314050100E-2,-2.569500208E-1,9.658050537E0,2.050050020E0
