"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
0.000000000E0,-1.520062500E3,-1.703625031E2,-5.021250153E1
2.000465500E-2,-2.658750153E1,-9.585000610E1,-5.908125305E1
4.001673900E-2,-2.651250076E1,-9.472500610E1,-6.022500229E1
6.003893600E-2,-2.683125114E1,-9.515625000E1,-5.953125381E1
8.006781800E-2,-2.673750114E1,-9.513750458E1,-5.930625153E1
1.001022890E-1,-2.673750114E1,-9.504375458E1,-5.930625153E1
1.201296490E-1,-2.647500038E1,-9.543750000E1,-5.872500229E1
1.401413550E-1,-2.640000153E1,-9.410625458E1,-5.850000381E1
1.601552710E-1,-2.638125038E1,-9.247500610E1,-5.988750076E1
1.801612920E-1,-2.671875191E1,-9.483750153E1,-5.941875076E1
2.001575120E-1,-2.638125038E1,-9.410625458E1,-5.941875076E1
2.201595820E-1,-2.638125038E1,-9.410625458E1,-5.896875381E1
2.401557760E-1,-2.641875076E1,-9.440625000E1,-5.805000305E1
2.601608350E-1,-2.621250153E1,-9.451875305E1,-6.011250305E1
2.801554730E-1,-2.690625191E1,-9.474375153E1,-5.930625153E1
3.001462620E-1,-2.651250076E1,-9.472500610E1,-5.941875076E1
3.201458500E-1,-2.617500114E1,-9.551250458E1,-5.919375229E1
3.401429000E-1,-2.653125191E1,-9.330000305E1,-6.046875381E1
3.601370250E-1,-2.656875038E1,-9.564375305E1,-5.896875381E1
3.801399900E-1,-2.649375153E1,-9.431250000E1,-5.964375305E1
4.001382230E-1,-2.647500038E1,-9.553125000E1,-5.941875076E1
4.201310400E-1,-2.670000076E1,-9.442500305E1,-5.964375305E1
4.401393480E-1,-2.638125038E1,-9.421875000E1,-5.988750076E1
4.601404890E-1,-2.634375191E1,-9.511875153E1,-5.872500229E1
4.801339750E-1,-2.653125191E1,-9.483750153E1,-5.930625153E1
5.001339500E-1,-2.660625076E1,-9.451875305E1,-5.964375305E1
5.201320660E-1,-2.662500191E1,-9.472500610E1,-5.908125305E1
5.401378670E-1,-2.641875076E1,-9.472500610E1,-5.941875076E1
5.601388680E-1,-2.666250038E1,-9.391875458E1,-5.908125305E1
5.801333460E-1,-2.698125076E1,-9.423750305E1,-5.964375305E1
6.001362720E-1,-2.679375076E1,-9.421875000E1,-5.885625076E1
6.201368500E-1,-2.690625191E1,-9.301875305E1,-6.022500229E1
6.401322870E-1,-2.673750114E1,-9.493125153E1,-5.919375229E1
6.601367980E-1,-2.662500191E1,-9.309375000E1,-5.953125381E1
6.801361000E-1,-2.668125153E1,-9.421875000E1,-6.022500229E1
7.001310500E-1,-2.664375114E1,-9.339375305E1,-5.930625153E1
7.201346660E-1,-2.641875076E1,-9.451875305E1,-5.919375229E1
7.401318940E-1,-2.619375038E1,-9.399375153E1,-5.885625076E1
7.601367100E-1,-2.655000114E1,-9.523125458E1,-5.908125305E1
7.801362940E-1,-2.651250076E1,-9.309375000E1,-5.953125381E1
8.001322800E-1,-2.668125153E1,-9.401250458E1,-5.872500229E1
